title,Property_Address,price_month,price_week,agent_name,Agent_Number,Created_Date
Flat share,Clipstone Street,"1,408 pcm",325 pw,"Scraye, London",020 3834 8234,27/09/2023
5 bedroom house,"Temple Way, RAYLEIGH","2,000 pcm",462 pw,"Connells Lettings, Rayleigh",01268 203698,27/09/2023
Flat share,Clipstone Street,"1,296 pcm",299 pw,"Scraye, London",020 3834 8234,27/09/2023
1 bedroom flat,"Riverside Court, London, SW8","3,800 pcm",877 pw,"OpenRent, London",020 3322 3265,27/09/2023
2 bedroom apartment,"Osier Lane, London, SE10","2,000 pcm",462 pw,"1st Avenue, London",020 3909 6734,27/09/2023
3 bedroom mews house,"Gloucester Mews, Paddington, London, W2","5,997 pcm","1,384 pw","Kubie Gold Associates, London",020 3834 8585,27/09/2023
Studio flat,"Farrier Street, London","1,447 pcm",334 pw,"Citydeal Estates, London",020 8896 0800,27/09/2023
1 bedroom apartment,"10 Park Drive, E14","2,600 pcm",600 pw,"Harvey W James, London",020 3909 6747,27/09/2023
1 bedroom apartment,"Chandos Close, BUCKINGHAM","1,150 pcm",265 pw,"Connells Lettings, Buckingham",01280 733178,27/09/2023
1 bedroom apartment,"Chandos Close, BUCKINGHAM","1,150 pcm",265 pw,"Connells Lettings, Buckingham",01280 733178,27/09/2023
1 bedroom apartment,"Chandos Close, BUCKINGHAM","1,250 pcm",288 pw,"Connells Lettings, Buckingham",01280 733178,27/09/2023
1 bedroom block of apartments,Berkeley House Hay Hill W1J,"3,683 pcm",850 pw,"Cluttons, Hyde Park - Lettings",020 3910 0994,27/09/2023
3 bedroom apartment,"Camden Road, London, NW1","2,800 pcm",646 pw,"Hunters, Camden",020 3834 8439,27/09/2023
2 bedroom mews house,"London Mews, Paddington, W2","3,500 pcm",808 pw,"Davis & Gibbs Ltd, Oval",020 3910 6356,27/09/2023
2 bedroom flat,"Bridgewater Square, London, EC2Y","2,750 pcm",635 pw,"Upad, Coventry",020 3866 6837,27/09/2023
2 bedroom flat,"Pitfield Street, Old Street, London, N1","2,500 pcm",577 pw,"Upad, Coventry",020 3866 6837,27/09/2023
2 bedroom flat,"Monument Street, Monument, London, EC3R","2,750 pcm",635 pw,"Upad, Coventry",020 3866 6837,27/09/2023
3 bedroom flat,"Aviation Avenue, Hatfield, AL10","1,650 pcm",381 pw,"Moving Places, Hatfield",01707 241249,27/09/2023
2 bedroom apartment,"Bedford Court Mansions, London","5,417 pcm","1,250 pw","Rokstone, London",020 7580 2030,27/09/2023
Studio flat,"Finchley Road, London, NW3","1,750 pcm",404 pw,"Willtons Estates Ltd, Hampstead",020 3657 3358,27/09/2023
1 bedroom flat,City Road,"3,293 pcm",760 pw,"Scraye, London",020 3834 8234,27/09/2023
2 bedroom flat,Little Britain,"4,650 pcm","1,073 pw","Scraye, London",020 3834 8234,27/09/2023
1 bedroom flat,Uxbridge Road,"1,733 pcm",400 pw,"Scraye, London",020 3834 8234,27/09/2023
3 bedroom flat,"Merchant Square, Paddington, London W2","7,323 pcm","1,690 pw","SN Estates London, London",020 3871 1988,27/09/2023
3 bedroom semi-detached house,"Goodwood Close, Hoddesdon, EN11","2,000 pcm",462 pw,"Woodhouse, Cheshunt",01992 661939,27/09/2023
2 bedroom flat,"196 Sussex Gardens, London, W2","2,990 pcm",690 pw,"PVL Properties, London",020 3910 6360,27/09/2023
2 bedroom apartment,"Railway Street, Chatham, ME4","1,250 pcm",288 pw,"Haus Estate Agents, Rainham",01630 410889,27/09/2023
1 bedroom apartment,"Talacre Road, Kentish Town, NW5","2,100 pcm",485 pw,"Olivers Town, Kentish Town - Lettings",020 3835 3421,27/09/2023
1 bedroom house,"53 Winchester House Hallfield Estate, London, London","1,100 pcm",254 pw,"HYBR, London",020 3966 4594,27/09/2023
2 bedroom apartment,"Curzon Road, Muswell Hill, N10 2RB","2,000 pcm",462 pw,"L&Q, Lettings",020 3370 9509,27/09/2023
2 bedroom mews house,"London Mews, Paddington, W2","3,500 pcm",808 pw,"Davis & Gibbs Ltd, Oval",020 3910 6356,27/09/2023
1 bedroom flat,"West Park Close, London, RM6","1,175 pcm",271 pw,"OpenRent, London",020 3322 3265,27/09/2023
4 bedroom semi-detached house,"Reynolds Drive, Edgware, HA8","2,900 pcm",669 pw,"Infinity Property Solutions, Harrow",020 3910 6091,27/09/2023
2 bedroom apartment,"Hand Axe Yard, London, WC1X","3,800 pcm",877 pw,"Life Residential, Nine Elms Riverside Office - Lettings",020 3869 5749,27/09/2023
2 bedroom flat,"East Street, Brighton, BN1 1HN","3,500 pcm",808 pw,"King & Chasemore Lettings, Brighton",01273 109830,27/09/2023
4 bedroom detached house,"Kennington road, Kennington, SE11","4,500 pcm","1,038 pw","Davis & Gibbs Ltd, Oval",020 3910 6356,27/09/2023
4 bedroom terraced house,"Meadow Place, Vauxhall, SW8","4,300 pcm",992 pw,"Davis & Gibbs Ltd, Oval",020 3910 6356,27/09/2023
1 bedroom apartment,"Ebury Place, 1b Sutherland St, Pimlico, London SW1","3,000 pcm",692 pw,"London Capital Homes, London",020 3840 3969,27/09/2023
1 bedroom apartment,Woodley House Twodios,"1,473 pcm",340 pw,"Martin & Co, Reading",0118 230 2093,18/08/2023
4 bedroom terraced house,"Larcom Street, London, SE17","4,250 pcm",981 pw,"Davis & Gibbs Ltd, Oval",020 3910 6356,27/09/2023
4 bedroom terraced house,"Astbury Road, London","3,700 pcm",854 pw,"Gareth James Property, Peckham Rye- Lettings",020 3907 9835,27/09/2023
5 bedroom end of terrace house,Friary Road,"4,750 pcm","1,096 pw","Gareth James Property, Peckham Rye- Lettings",020 3907 9835,27/09/2023
2 bedroom flat,"Hayter Road, Brixton Hill SW2","2,297 pcm",530 pw,"Black Katz, London Bridge",020 3879 5741,27/09/2023
Studio apartment,"Bedford Street, Covent Garden, WC2E","1,712 pcm",395 pw,"Barnard Marcus Lettings, Covent Garden Lettings",020 3869 5311,27/09/2023
2 bedroom flat,Cadogan Square,"12,000 pcm","2,769 pw","Scraye, London",020 3834 8234,27/09/2023
1 bedroom apartment,"Peloton Avenue, Stratford, E20","2,200 pcm",508 pw,"Highcastle Estates, London",020 3840 3606,27/09/2023
1 bedroom house share,Room 39 Martindale Court,425 pcm,98 pw,"Walmsley Estate Agents, Caversham",0118 230 2452,27/09/2023
1 bedroom apartment,"Casson Apartments, 43 Upper North Street, London, E14","1,700 pcm",392 pw,"1st Avenue, London",020 3909 6734,27/09/2023
2 bedroom apartment,"Gloucester Mansions, 140A Shaftesbury Avenue, WC2H","3,467 pcm",800 pw,"CBRE Residential, West End",020 3835 6483,27/09/2023
1 bedroom apartment,"Essex Street, Covent Garden, WC2R","3,250 pcm",750 pw,"CBRE Residential, West End",020 3835 6483,27/09/2023
3 bedroom terraced house,"Sussex Way, N19 - Eddison Court","3,000 pcm",692 pw,"JTM Homes, London - Lettings",020 3862 2266,27/09/2023
4 bedroom terraced house,"Cape Yard, London, E1W","4,000 pcm",923 pw,"JBrown, London",020 3909 7891,27/09/2023
4 bedroom terraced house,"Claylands Road, Oval , SW8","4,200 pcm",969 pw,"Davis & Gibbs Ltd, Oval",020 3910 6356,27/09/2023
1 bedroom apartment,"Scott Ellis House, St John's Wood, London, NW8","1,800 pcm",415 pw,"Ivory Real Estate, London",029 2271 0445,27/09/2023
2 bedroom apartment,"Keel Point, Ship Wharf","1,350 pcm",312 pw,"Jackson & Co ltd, Colchester",01206 586134,27/09/2023
5 bedroom terraced house,"High Street, Eton, Windsor, SL4","6,750 pcm","1,558 pw","OpenRent, London",020 3322 3265,27/09/2023
2 bedroom flat,"Frewell Buildings, Portpool Lane, London EC1N","2,947 pcm",680 pw,"BPS London, London",020 3835 3729,27/09/2023
3 bedroom apartment,"Henty Close, Battersea, SW11","2,700 pcm",623 pw,"Draker Lettings, Fulham Broadway",020 3910 6716,27/09/2023
1 bedroom flat,"Southwark Bridge Road, London Bridge / Borough SE1","1,928 pcm",445 pw,"Black Katz, London Bridge",020 3879 5741,27/09/2023
Studio flat,"Penywern Road, Earls Court, London SW5","1,560 pcm",360 pw,"Interlet Sales and Lettings, Kensington",020 3910 6290,27/09/2023
1 bedroom apartment,"Bronze House, Caledonian Road, Barnsbury, Islington, London, N7","2,860 pcm",660 pw,"relocate-me.co.uk, London",020 3872 5280,27/09/2023
3 bedroom apartment,"Hastings Street, Kings Cross, WC1H","3,315 pcm",765 pw,"Fyfe McDade Limited, Bloomsbury",020 3909 9271,27/09/2023
2 bedroom apartment,"Brighton Square, BN1","2,150 pcm",496 pw,"Leaders Lettings, Kemptown",01273 109887,27/09/2023
1 bedroom apartment,"Balcombe Street, Marylebone, London, NW1","2,448 pcm",565 pw,"Kubie Gold Associates, London",020 3834 8585,13/09/2023
5 bedroom detached house,"Argyle Road, West Ealing, Greater London. W13","3,800 pcm",877 pw,"Castle Hill Properties, Ealing",020 3834 8098,27/09/2023
2 bedroom apartment,"Knollys House, Tavistock Place, Bloomsbury, London, WC1H","2,535 pcm",585 pw,"Fyfe McDade Limited, Bloomsbury",020 3909 9271,27/09/2023
2 bedroom apartment,"Lever Street, London, EC1V 3QY","3,250 pcm",750 pw,"LettingaProperty.com, Nationwide - Lettings",0121 285 6320,27/09/2023
2 bedroom flat,"92 Jacquard Apartments, Wandsworth Exchange SW18 4PW","2,425 pcm",560 pw,"L&Q, Lettings",020 3370 9509,27/09/2023
4 bedroom end of terrace house,"Mayfield Avenue, North Finchley, N12","3,000 pcm",692 pw,"Jeremy Leaf & Co, East Finchley",020 3889 9180,27/09/2023
4 bedroom end of terrace house,"Mayfield Avenue, North Finchley, N12","3,000 pcm",692 pw,"Jeremy Leaf & Co, North Finchley",020 3889 1538,18/05/2023
2 bedroom flat,"Balfour Road, Brighton, BN1","1,600 pcm",369 pw,"Jack Taggart & Co, Hove",01273 109878,27/09/2023
Studio flat,"Thanet House, Thanet Street,  Bloomsbury, WC1H","2,015 pcm",465 pw,"Greater London Properties, Bloomsbury",020 3893 8926,27/09/2023
4 bedroom flat,Clayton Street,"3,400 pcm",785 pw,"Scraye, London",020 3834 8234,27/09/2023
1 bedroom house share,Upper Way,975 pcm,225 pw,"StudentTenant, Canterbury",03337 720618,27/09/2023
Studio flat,"Hatton Garden, London EC1","2,000 pcm",462 pw,"Elkay Properties, London",020 3835 3764,27/09/2023
1 bedroom apartment,"Yorke House, Royal Exchange, KT1","2,080 pcm",480 pw,"Harvey W James, London",020 3909 6747,27/09/2023
4 bedroom flat,"Holcroft Court, Clipstone Street, London, W1W","4,225 pcm",975 pw,"Coopers, London",020 3834 8340,26/09/2023
2 bedroom apartment,Bolingbroke Walk Battersea SW11,"2,100 pcm",485 pw,"Kinleigh Folkard & Hayward - Lettings, Battersea Park Lettings",020 3834 8249,26/09/2023
2 bedroom flat,"Morton Road, De Beauvoir Town N1","4,299 pcm",992 pw,"Black Katz, Islington",020 3835 3598,26/09/2023
1 bedroom apartment,"New Cross Road, London, SE14","1,400 pcm",323 pw,"Winkworth, Forest Hill & New Cross",020 3879 5242,26/09/2023
1 bedroom apartment,"Hamlet Gardens, Hammersmith - W6","2,860 pcm",660 pw,"Still Life Residential, London",020 3005 9920,26/09/2023
1 bedroom apartment,"Flat , Brent House,  Wandsworth Road, London","2,650 pcm",612 pw,"M&H Relocation, London",020 3834 8329,26/09/2023
2 bedroom apartment,"Eastfields Avenue, London, SW18","2,980 pcm",688 pw,"Celestial Globe, Westminster",020 7583 3111,26/09/2023
1 bedroom apartment,"Cadmus Court, Seafarer Way, Marine Wharf, SE16","1,733 pcm",400 pw,"MyLondonHome, Central London",020 7227 0048,26/09/2023
4 bedroom flat,Munster Square,"4,200 pcm",969 pw,"Scraye, London",020 3834 8234,26/09/2023
1 bedroom apartment,"Ferguson Close, London E14","1,733 pcm",400 pw,"Chanin Estates, London",020 3907 2608,26/09/2023
3 bedroom apartment,"Tooting Bec Road, Tooting Bec, SW17","2,999 pcm",692 pw,"Davis & Gibbs Ltd, Oval",020 3910 6356,26/09/2023
3 bedroom apartment,"Thornaby House, 
Canrobert Street, E2","3,200 pcm",738 pw,"Chestertons Estate Agents, Islington Lettings",020 3872 5359,26/09/2023
2 bedroom apartment,"Lionel Road South, Brentford, Middlesex, TW8","2,575 pcm",594 pw,"Apo, Kew Bridge",020 3910 6585,22/09/2023
4 bedroom flat,Munster Square,"4,200 pcm",969 pw,"Scraye, London",020 3834 8234,26/09/2023
1 bedroom apartment,"Ferguson Close, London E14","1,733 pcm",400 pw,"Chanin Estates, London",020 3907 2608,26/09/2023
3 bedroom apartment,"Tooting Bec Road, Tooting Bec, SW17","2,999 pcm",692 pw,"Davis & Gibbs Ltd, Oval",020 3910 6356,26/09/2023
3 bedroom apartment,"Thornaby House, 
Canrobert Street, E2","3,200 pcm",738 pw,"Chestertons Estate Agents, Islington Lettings",020 3872 5359,26/09/2023
4 bedroom town house,"Sutherland Square, London, SE17","4,117 pcm",950 pw,"Davis & Gibbs Ltd, Oval",020 3910 6356,26/09/2023
3 bedroom flat,"Station Road, Sidcup, DA15 7AA","1,350 pcm",312 pw,"Drewery Property Services, Sidcup",020 3835 6094,26/09/2023
2 bedroom apartment,"Viaduct Gardens, London, SW11","4,767 pcm","1,100 pw","Celestial Globe, Westminster",020 7583 3111,26/09/2023
5 bedroom apartment,"Strathmore Court, Park Road, St John's Wood London, NW8","8,081 pcm","1,865 pw","Victorstone, City Road",020 3834 7921,26/09/2023
1 bedroom apartment,18 Portugal Street LONDON WC2A,"4,766 pcm","1,100 pw","London Capital Homes, London",020 3840 3969,26/09/2023
3 bedroom flat,"High Street Kensington, London","3,500 pcm",808 pw,"Pomp Properties, London",020 3840 3585,26/09/2023
Studio flat,Holloway Road,"1,842 pcm",425 pw,"Scraye, London",020 3834 8234,26/09/2023
2 bedroom apartment,"Admiral Walk, London, W9","2,752 pcm",635 pw,"Chancellors, St John's Wood Lettings",020 3871 8681,26/09/2023
3 bedroom apartment,"Chicksand Street, Spitalfields, London","3,600 pcm",831 pw,"Net Lettings, London",020 3892 9578,26/09/2023
3 bedroom flat,"Kensington High Street, London","3,900 pcm",900 pw,"Pomp Properties, London",020 3840 3585,26/09/2023
5 bedroom end of terrace house,"Sherd Close, Luton","1,800 pcm",415 pw,"Hunters, Stanmore",020 3907 3399,26/09/2023
2 bedroom terraced house,"Kite Hill, Eaglestone, Milton Keynes, MK6","1,100 pcm",254 pw,"Elevation, Milton Keynes",01908 103259,26/09/2023
Studio apartment,"Woodley Headland, Peartree Bridge, MILTON KEYNES, MK6",850 pcm,196 pw,"Elevation, Milton Keynes",01908 103259,26/09/2023
1 bedroom apartment,"Greencroft Gardens, South Hampstead, NW6","2,000 pcm",462 pw,"YRT Residential, London",020 3907 9800,26/09/2023
4 bedroom terraced house,"Claylands Road, London, SW8","4,199 pcm",969 pw,"Davis & Gibbs Ltd, Oval",020 3910 6356,26/09/2023
2 bedroom apartment,"Clarendon Court,  Golden Lane, Barbican, EC1Y","3,792 pcm",875 pw,"Greater London Properties, Bloomsbury",020 3893 8926,26/09/2023
3 bedroom terraced house,"The Green, Welling, DA16","2,000 pcm",462 pw,"Christopher Russell, Sidcup, The Oval",020 3840 3340,26/09/2023
Studio apartment,"Queensborough Terrace, Queensway","1,348 pcm",311 pw,"Barnard Marcus Lettings, West Kensington - Lettings",020 3834 8179,26/09/2023
6 bedroom terraced house,"Nutcroft Road, London, London, SE15","4,750 pcm","1,096 pw","Davis & Gibbs Ltd, Oval",020 3910 6356,26/09/2023
3 bedroom flat,"Theobalds Road, London, WC1X","4,853 pcm","1,120 pw","UKmate, London",020 3984 8345,26/09/2023
2 bedroom apartment,"Ferrum, Wembley Park, HA9","2,571 pcm",593 pw,"Home Made, London",01202 145329,28/09/2023
1 bedroom apartment,"Somers Close, King's Cross, Camden, London, NW1","2,000 pcm",462 pw,"relocate-me.co.uk, London",020 3872 5280,26/09/2023
2 bedroom apartment,"Wharfdale Road, Kings Cross, London, N1","2,500 pcm",577 pw,"Victorstone, City Road",020 3834 7921,26/09/2023
Studio apartment,"Ontario Tower, Canary Wharf, London, E14","1,950 pcm",450 pw,"Ivory Real Estate, London",029 2271 0445,26/09/2023
2 bedroom ground floor flat,"Assam St, London E1","2,840 pcm",655 pw,"Elkay Properties, London",020 3835 3764,26/09/2023
1 bedroom house share,Room To Rent High Wycombe,625 pcm,144 pw,"haart, Maidenhead",01628 965571,26/09/2023
5 bedroom flat,"Ethnard road, Peckham SE15","4,333 pcm","1,000 pw","Black Katz, London Bridge",020 3879 5741,26/09/2023
Studio flat,"Southwell Gardens, South Kensington, SW7","1,625 pcm",375 pw,"City Living London, London",020 3835 4332,26/09/2023
Studio flat,"Cheniston Gardens, High Street Kensington, W8","1,408 pcm",325 pw,"City Living London, London",020 3835 4332,26/09/2023
Flat share,Chichele Road,893 pcm,206 pw,"Scraye, London",020 3834 8234,26/09/2023
2 bedroom flat,"Basement, Chelsea, SW10","2,600 pcm",600 pw,"OpenRent, London",020 3322 3265,26/09/2023
1 bedroom apartment,Cassia House 30 Piazza Walk LONDON E1,"3,400 pcm",785 pw,"London Capital Homes, London",020 3840 3969,26/09/2023
2 bedroom apartment,"One Crown Place, EC2A","5,200 pcm","1,200 pw","Harvey W James, London",020 3909 6747,26/09/2023
Studio flat,Chatsworth Road,"1,236 pcm",285 pw,"Scraye, London",020 3834 8234,26/09/2023
6 bedroom house share,"Upper High Street, Epsom, KT17",650 pcm,150 pw,"Eastons Ltd, Epsom",01372 722727,25/09/2023
1 bedroom flat,"Wickham Lane, London, Greater London, SE2",900 pcm,208 pw,"Kallars, London",020 3835 4661,25/09/2023
2 bedroom duplex,"The Pathe Building, Soho, London, W1F","8,000 pcm","1,846 pw","One London, London",020 8138 0129,25/09/2023
Studio flat,Market Road,"2,123 pcm",490 pw,"Scraye, London",020 3834 8234,25/09/2023
4 bedroom end of terrace house,"Lincoln Road, Reading, RG2 0EX","2,500 pcm",577 pw,"SPACE, Reading",0118 966 6660,25/09/2023
2 bedroom apartment,"Spur House, Wimbledon, SW19","2,100 pcm",485 pw,"London Property Guru, London",020 3909 6757,25/09/2023
3 bedroom semi-detached house,"Swift Close, FLITWICK, MK45","1,400 pcm",323 pw,"Country Properties, Flitwick",01525 309872,25/09/2023
4 bedroom flat,"Holcroft Court, Clipstone Street, London, W1W","4,290 pcm",990 pw,"Coopers, London",020 3834 8340,25/09/2023
4 bedroom flat,"Holcroft Court, Clipstone Street, London, W1W","4,290 pcm",990 pw,"Coopers, London",020 3834 8340,25/09/2023
2 bedroom apartment,"Darkes Lane, Potters Bar","1,750 pcm",404 pw,"Auckland Estates Limited, Potters Bar",01707 241234,25/09/2023
3 bedroom apartment,"Tribeca Apartments, Heneage Street, Spitalfields, London","3,500 pcm",808 pw,"Net Lettings, London",020 3892 9578,25/09/2023
1 bedroom apartment,"Courtfield Gardens, London, SW5 0PJ, UK","3,210 pcm",741 pw,"BLUEGROUND FURNISHED APARTMENTS UK LTD, London",020 3319 6480,28/09/2023
2 bedroom apartment,"Avalon Buildings, West Street, Brighton, BN1","2,500 pcm",577 pw,"Parks Residential Ltd, Brighton",01273 109904,25/09/2023
3 bedroom semi-detached house,"Darset Avenue, Fleet, GU51","1,995 pcm",460 pw,"Mackenzie Smith, Fleet",01252 221910,25/09/2023
4 bedroom semi-detached house,"Auckland Drive, Brighton","1,850 pcm",427 pw,"Eightfold Property, Brighton",01273 109764,25/09/2023
3 bedroom house,"Orchid Mews, Stonebridge, London, NW10","2,450 pcm",565 pw,"Marc and Partners, Mayfair",020 3906 2158,25/09/2023
Studio flat,"21 Kidderminster Road, Croydon, CR0","1,100 pcm",254 pw,"Purplebricks, covering Croydon",020 3907 4381,25/09/2023
2 bedroom apartment,"Leander Road, Brixton, SW2","2,097 pcm",484 pw,"Davis & Gibbs Ltd, Oval",020 3910 6356,25/09/2023
4 bedroom town house,"Safety Bay Close, Rochester, Kent, ME1","2,500 pcm",577 pw,"Alexander Charles & Browne, Forest Hill",020 3906 8785,25/09/2023
2 bedroom flat,"Cromwell Road, South Kensington, London, SW7","3,618 pcm",835 pw,"Upad, Coventry",020 3866 6837,25/09/2023
1 bedroom house share,Wood Close,475 pcm,110 pw,"Leaders Lettings, St Albans",01727 229232,25/09/2023
1 bedroom house share,Wood Close,525 pcm,121 pw,"Leaders Lettings, St Albans",01727 229232,25/09/2023
1 bedroom house share,Wood Close,500 pcm,115 pw,"Leaders Lettings, St Albans",01727 229232,25/09/2023
1 bedroom house share,Wood Close,545 pcm,126 pw,"Leaders Lettings, St Albans",01727 229232,25/09/2023
1 bedroom apartment,"Cromwell Road, Kensington, London, SW5","2,167 pcm",500 pw,"Parkes Estate Agents, Kensington",020 3910 6260,25/09/2023
5 bedroom semi-detached house,Benjamin Road,"2,100 pcm",485 pw,"Romans, High Wycombe",01494 321192,25/09/2023
3 bedroom apartment,"Admiralty House, 150 Vaughan Way, E1W","5,200 pcm","1,200 pw","CBRE Residential, Docklands",020 3907 3038,25/09/2023
5 bedroom terraced house,"Lairs Close, London","4,300 pcm",992 pw,"Urban Lettings, National",03300 532981,25/09/2023
1 bedroom apartment,"Le May Avenue, Grove Park, London, SE12","1,350 pcm",312 pw,"1st Avenue, London",020 3909 6734,25/09/2023
1 bedroom flat,"Hoxton Square, London N1","2,145 pcm",495 pw,"Elkay Properties, London",020 3835 3764,25/09/2023
4 bedroom maisonette,Holloway Road,"3,900 pcm",900 pw,"Huddletons, Camden",020 3869 0876,25/09/2023
4 bedroom penthouse,"Ocean Buildings, Brighton, BN1","4,500 pcm","1,038 pw","Parks Residential Ltd, Brighton",01273 109904,25/09/2023
2 bedroom apartment,"Millbank, Westminster, London, SW1P","7,150 pcm","1,650 pw","Carter Jonas Lettings, Mayfair",020 3835 3527,25/09/2023
3 bedroom terraced house,"St. Annes Court, London, W1F","5,417 pcm","1,250 pw","OpenRent, London",020 3322 3265,25/09/2023
1 bedroom apartment,"Woodthorpe Road, Ashford, TW15","1,050 pcm",242 pw,"Gregory Brown, Ashford",01784 918295,25/09/2023
Studio flat,Medway Street,"1,387 pcm",320 pw,"Scraye, London",020 3834 8234,25/09/2023
2 bedroom apartment,"Muswell Hill, London, N10","2,903 pcm",670 pw,"Home Made, London",01202 145329,yesterday
5 bedroom detached house,"Church Avenue, Sidcup, DA14","2,800 pcm",646 pw,"Christopher Russell, Sidcup, The Oval",020 3840 3340,25/09/2023
2 bedroom apartment,"Hill Street, Mayfair","5,417 pcm","1,250 pw","Tony Alan Estates, London",020 3834 8169,25/09/2023
3 bedroom apartment,"Lightship Way, Colchester, Essex, CO2","1,400 pcm",323 pw,"Palmer & Partners, Colchester",01206 586127,25/09/2023
4 bedroom terraced house,"Belsize Road, South Hampstead","6,500 pcm","1,500 pw","Hanley Estates Ltd, London",020 3840 3830,25/09/2023
2 bedroom apartment,"Poole Street, London, N1","2,900 pcm",669 pw,"IDM Estates Ltd, London",020 3910 6473,25/09/2023
2 bedroom apartment,"Grays Inn Road, Bloomsbury, London","3,770 pcm",870 pw,"Keller Williams Prime Properties, London",020 3907 3065,25/09/2023
2 bedroom flat,"Foundling Court, Bloomsbury, London  WC1","3,250 pcm",750 pw,"Keller Williams Prime Properties, London",020 3907 3065,25/09/2023
2 bedroom flat,"Grays Inn Road, Kings Cross WC1X","2,535 pcm",585 pw,"Black Katz, Camden",020 3835 2413,25/09/2023
6 bedroom apartment,Hazelville Road London N19,"5,700 pcm","1,315 pw","Kinleigh Folkard & Hayward - Lettings, Crouch End",020 3835 6384,25/09/2023
1 bedroom apartment,Willowbrook House Coster Avenue LONDON N4,"2,450 pcm",565 pw,"London Capital Homes, London",020 3840 3969,25/09/2023
1 bedroom house share,"Orchard Waye, Uxbridge, UB8",825 pcm,190 pw,"OpenRent, London",020 3322 3265,25/09/2023
Studio flat,"North Gower Street, Euston, London, NW1","1,625 pcm",375 pw,"Interlet Sales and Lettings, Kensington",020 3910 6290,25/09/2023
2 bedroom apartment,"Whitechapel Road, London","2,250 pcm",519 pw,"Tony Alan Estates, London",020 3834 8169,25/09/2023
5 bedroom terraced house,"Avondale Road, Haringey","3,499 pcm",807 pw,"Tony Alan Estates, London",020 3834 8169,25/09/2023
1 bedroom flat,"Glenville Avenue, Enfield, London, EN2","1,350 pcm",312 pw,"Makeurmove.co.uk, National",020 3909 9781,25/09/2023
2 bedroom apartment,Collingham Place,"2,799 pcm",646 pw,"Tony Alan Estates, London",020 3834 8169,25/09/2023
3 bedroom ground floor flat,"Caldwell Street, Oval, SW9","2,700 pcm",623 pw,"Davis & Gibbs Ltd, Oval",020 3910 6356,25/09/2023
3 bedroom detached bungalow,"Townsend Road, Ashford, TW15","1,995 pcm",460 pw,"Gregory Brown, Ashford",01784 918295,25/09/2023
1 bedroom house of multiple occupation,"Blossom Waye, Hounslow, TW5",950 pcm,219 pw,"Blue Estate Agents Ltd, Heston, Hounslow",020 3909 0321,25/09/2023
1 bedroom house of multiple occupation,"Blossom Waye, Hounslow, TW5",950 pcm,219 pw,"Blue Estate Agents Ltd, Heston, Hounslow",020 3909 0321,25/09/2023
1 bedroom apartment,"Chronicle Tower, 261b City Road, Angel, Shoreditch, London, EC1V","3,033 pcm",700 pw,"relocate-me.co.uk, London",020 3872 5280,25/09/2023
4 bedroom maisonette,Grove Crescent Road,"2,999 pcm",692 pw,"Tony Alan Estates, London",020 3834 8169,25/09/2023
4 bedroom flat,"All Souls Avenue, London, NW10","3,748 pcm",865 pw,"Abacus Estates, Kensal Rise, London",020 3907 3480,25/09/2023
2 bedroom flat,"Adenmore Road, Catford, London, SE6","1,800 pcm",415 pw,"Stanford Estates, Catford",020 3834 8672,25/09/2023
2 bedroom detached house,"Cricket Green, Hartley Wintney, Hook, Hampshire, RG27","1,995 pcm",460 pw,"Mackenzie Smith, Fleet",01252 221910,04/09/2023
3 bedroom detached bungalow,"Townsend Road, Ashford, TW15","1,995 pcm",460 pw,"Gregory Brown, Ashford",01784 918295,25/09/2023
1 bedroom house of multiple occupation,"Blossom Waye, Hounslow, TW5",950 pcm,219 pw,"Blue Estate Agents Ltd, Heston, Hounslow",020 3909 0321,25/09/2023
1 bedroom house of multiple occupation,"Blossom Waye, Hounslow, TW5",950 pcm,219 pw,"Blue Estate Agents Ltd, Heston, Hounslow",020 3909 0321,25/09/2023
1 bedroom apartment,"Chronicle Tower, 261b City Road, Angel, Shoreditch, London, EC1V","3,033 pcm",700 pw,"relocate-me.co.uk, London",020 3872 5280,25/09/2023
4 bedroom maisonette,Grove Crescent Road,"2,999 pcm",692 pw,"Tony Alan Estates, London",020 3834 8169,25/09/2023
4 bedroom flat,"All Souls Avenue, London, NW10","3,748 pcm",865 pw,"Abacus Estates, Kensal Rise, London",020 3907 3480,25/09/2023
2 bedroom flat,"Adenmore Road, Catford, London, SE6","1,800 pcm",415 pw,"Stanford Estates, Catford",020 3834 8672,25/09/2023
2 bedroom apartment,"Landmann Point, 6 Peartree Way, Greenwich, SE10","2,200 pcm",508 pw,"1st Avenue, London",020 3909 6734,25/09/2023
4 bedroom end of terrace house,"Harberton Road, N19 3JT","4,000 pcm",923 pw,"David Andrew, London - Holloway Road",020 3840 3854,25/09/2023
2 bedroom apartment,"Castle Gate, 114 Castle Street, Reading, Berkshire, RG1","1,500 pcm",346 pw,"Winkworth, Reading",0118 230 5527,25/09/2023
1 bedroom apartment,"Fouberts Place, Soho W1F","2,492 pcm",575 pw,"Tavistock Bow, London",020 3872 0732,25/09/2023
2 bedroom flat,Hyde Park Gardens,"7,280 pcm","1,680 pw","Scraye, London",020 3834 8234,25/09/2023
3 bedroom flat,"Stuart Road, Richmond, TW10","1,950 pcm",450 pw,"OpenRent, London",020 3322 3265,24/09/2023
