Created_Date,Property_Type,Property_Address,Number_of_bedroom(s),Price_Month,Price_Week,Agent_Name,Agent_Location,Agent_Number
27/09/2023,End Of Terrace House,"Mayfield Avenue, North Finchley, N12",4,3000,692,Jeremy Leaf & Co,East Finchley,020 3889 9180
18/05/2023,End Of Terrace House,"Mayfield Avenue, North Finchley, N12",4,3000,692,Jeremy Leaf & Co,North Finchley,020 3889 1538
27/09/2023,Flat,"Balfour Road, Brighton, Bn1",2,1600,369,Jack Taggart & Co,Hove,01273 109878
27/09/2023,Flat,Clayton Street,4,3400,785,Scraye,London,020 3834 8234
27/09/2023,House Share,Upper Way,1,975,225,Studenttenant,Canterbury,03337 720618
27/09/2023,Apartment,"Yorke House, Royal Exchange, Kt1",1,2080,480,Harvey W James,London,020 3909 6747
26/09/2023,Flat,"Holcroft Court, Clipstone Street, London, W1W",4,4225,975,Coopers,London,020 3834 8340
26/09/2023,Apartment,Bolingbroke Walk Battersea Sw11,2,2100,485,Kinleigh Folkard & Hayward - Lettings,Battersea Park Lettings,020 3834 8249
26/09/2023,Flat,"Morton Road, De Beauvoir Town N1",2,4299,992,Black Katz,Islington,020 3835 3598
26/09/2023,Apartment,"New Cross Road, London, Se14",1,1400,323,Winkworth,Forest Hill & New Cross,020 3879 5242
26/09/2023,Apartment,"Hamlet Gardens, Hammersmith - W6",1,2860,660,Still Life Residential,London,020 3005 9920
26/09/2023,Apartment,"Flat , Brent House,  Wandsworth Road, London",1,2650,612,M&H Relocation,London,020 3834 8329
26/09/2023,Apartment,"Eastfields Avenue, London, Sw18",2,2980,688,Celestial Globe,Westminster,020 7583 3111
26/09/2023,Apartment,"Cadmus Court, Seafarer Way, Marine Wharf, Se16",1,1733,400,Mylondonhome,Central London,020 7227 0048
26/09/2023,Flat,Munster Square,4,4200,969,Scraye,London,020 3834 8234
26/09/2023,Apartment,"Ferguson Close, London E14",1,1733,400,Chanin Estates,London,020 3907 2608
26/09/2023,Apartment,"Tooting Bec Road, Tooting Bec, Sw17",3,2999,692,Davis & Gibbs Ltd,Oval,020 3910 6356
26/09/2023,Apartment,"Thornaby House, 
Canrobert Street, E2",3,3200,738,Chestertons Estate Agents,Islington Lettings,020 3872 5359
22/09/2023,Apartment,"Lionel Road South, Brentford, Middlesex, Tw8",2,2575,594,Apo,Kew Bridge,020 3910 6585
26/09/2023,Flat,Munster Square,4,4200,969,Scraye,London,020 3834 8234
26/09/2023,Apartment,"Ferguson Close, London E14",1,1733,400,Chanin Estates,London,020 3907 2608
26/09/2023,Apartment,"Tooting Bec Road, Tooting Bec, Sw17",3,2999,692,Davis & Gibbs Ltd,Oval,020 3910 6356
26/09/2023,Apartment,"Thornaby House, 
Canrobert Street, E2",3,3200,738,Chestertons Estate Agents,Islington Lettings,020 3872 5359
26/09/2023,Town House,"Sutherland Square, London, Se17",4,4117,950,Davis & Gibbs Ltd,Oval,020 3910 6356
26/09/2023,Flat,"Station Road, Sidcup, Da15 7Aa",3,1350,312,Drewery Property Services,Sidcup,020 3835 6094
26/09/2023,Apartment,"Viaduct Gardens, London, Sw11",2,4767,1100,Celestial Globe,Westminster,020 7583 3111
26/09/2023,Apartment,"Strathmore Court, Park Road, St John'S Wood London, Nw8",5,8081,1865,Victorstone,City Road,020 3834 7921
26/09/2023,Apartment,18 Portugal Street London Wc2A,1,4766,1100,London Capital Homes,London,020 3840 3969
26/09/2023,Flat,"High Street Kensington, London",3,3500,808,Pomp Properties,London,020 3840 3585
26/09/2023,Apartment,"Admiral Walk, London, W9",2,2752,635,Chancellors,St John'S Wood Lettings,020 3871 8681
26/09/2023,Apartment,"Chicksand Street, Spitalfields, London",3,3600,831,Net Lettings,London,020 3892 9578
26/09/2023,Flat,"Kensington High Street, London",3,3900,900,Pomp Properties,London,020 3840 3585
26/09/2023,End Of Terrace House,"Sherd Close, Luton",5,1800,415,Hunters,Stanmore,020 3907 3399
26/09/2023,Terraced House,"Kite Hill, Eaglestone, Milton Keynes, Mk6",2,1100,254,Elevation,Milton Keynes,01908 103259
26/09/2023,Apartment,"Greencroft Gardens, South Hampstead, Nw6",1,2000,462,Yrt Residential,London,020 3907 9800
26/09/2023,Terraced House,"Claylands Road, London, Sw8",4,4199,969,Davis & Gibbs Ltd,Oval,020 3910 6356
26/09/2023,Apartment,"Clarendon Court,  Golden Lane, Barbican, Ec1Y",2,3792,875,Greater London Properties,Bloomsbury,020 3893 8926
26/09/2023,Terraced House,"The Green, Welling, Da16",3,2000,462,Christopher Russell,Sidcup,020 3840 3340
26/09/2023,Terraced House,"Nutcroft Road, London, London, Se15",6,4750,1096,Davis & Gibbs Ltd,Oval,020 3910 6356
26/09/2023,Flat,"Theobalds Road, London, Wc1X",3,4853,1120,Ukmate,London,020 3984 8345
28/09/2023,Apartment,"Ferrum, Wembley Park, Ha9",2,2571,593,Home Made,London,01202 145329
26/09/2023,Apartment,"Somers Close, King'S Cross, Camden, London, Nw1",1,2000,462,Relocate-Me.Co.Uk,London,020 3872 5280
26/09/2023,Apartment,"Wharfdale Road, Kings Cross, London, N1",2,2500,577,Victorstone,City Road,020 3834 7921
26/09/2023,Ground Floor Flat,"Assam St, London E1",2,2840,655,Elkay Properties,London,020 3835 3764
26/09/2023,House Share,Room To Rent High Wycombe,1,625,144,Haart,Maidenhead,01628 965571
26/09/2023,Flat,"Ethnard Road, Peckham Se15",5,4333,1000,Black Katz,London Bridge,020 3879 5741
26/09/2023,Flat,"Basement, Chelsea, Sw10",2,2600,600,Openrent,London,020 3322 3265
26/09/2023,Apartment,Cassia House 30 Piazza Walk London E1,1,3400,785,London Capital Homes,London,020 3840 3969
26/09/2023,Apartment,"One Crown Place, Ec2A",2,5200,1200,Harvey W James,London,020 3909 6747
25/09/2023,House Share,"Upper High Street, Epsom, Kt17",6,650,150,Eastons Ltd,Epsom,01372 722727
25/09/2023,Flat,"Wickham Lane, London, Greater London, Se2",1,900,208,Kallars,London,020 3835 4661
25/09/2023,Duplex,"The Pathe Building, Soho, London, W1F",2,8000,1846,One London,London,020 8138 0129
25/09/2023,End Of Terrace House,"Lincoln Road, Reading, Rg2 0Ex",4,2500,577,Space,Reading,0118 966 6660
25/09/2023,Apartment,"Spur House, Wimbledon, Sw19",2,2100,485,London Property Guru,London,020 3909 6757
25/09/2023,Semi-Detached House,"Swift Close, Flitwick, Mk45",3,1400,323,Country Properties,Flitwick,01525 309872
25/09/2023,Flat,"Holcroft Court, Clipstone Street, London, W1W",4,4290,990,Coopers,London,020 3834 8340
25/09/2023,Flat,"Holcroft Court, Clipstone Street, London, W1W",4,4290,990,Coopers,London,020 3834 8340
25/09/2023,Apartment,"Darkes Lane, Potters Bar",2,1750,404,Auckland Estates Limited,Potters Bar,01707 241234
25/09/2023,Apartment,"Tribeca Apartments, Heneage Street, Spitalfields, London",3,3500,808,Net Lettings,London,020 3892 9578
28/09/2023,Apartment,"Courtfield Gardens, London, Sw5 0Pj, Uk",1,3210,741,Blueground Furnished Apartments Uk Ltd,London,020 3319 6480
25/09/2023,Apartment,"Avalon Buildings, West Street, Brighton, Bn1",2,2500,577,Parks Residential Ltd,Brighton,01273 109904
25/09/2023,Semi-Detached House,"Darset Avenue, Fleet, Gu51",3,1995,460,Mackenzie Smith,Fleet,01252 221910
25/09/2023,Semi-Detached House,"Auckland Drive, Brighton",4,1850,427,Eightfold Property,Brighton,01273 109764
25/09/2023,House,"Orchid Mews, Stonebridge, London, Nw10",3,2450,565,Marc And Partners,Mayfair,020 3906 2158
25/09/2023,Apartment,"Leander Road, Brixton, Sw2",2,2097,484,Davis & Gibbs Ltd,Oval,020 3910 6356
25/09/2023,Town House,"Safety Bay Close, Rochester, Kent, Me1",4,2500,577,Alexander Charles & Browne,Forest Hill,020 3906 8785
25/09/2023,Flat,"Cromwell Road, South Kensington, London, Sw7",2,3618,835,Upad,Coventry,020 3866 6837
25/09/2023,House Share,Wood Close,1,475,110,Leaders Lettings,St Albans,01727 229232
25/09/2023,House Share,Wood Close,1,525,121,Leaders Lettings,St Albans,01727 229232
25/09/2023,House Share,Wood Close,1,500,115,Leaders Lettings,St Albans,01727 229232
25/09/2023,House Share,Wood Close,1,545,126,Leaders Lettings,St Albans,01727 229232
25/09/2023,Apartment,"Cromwell Road, Kensington, London, Sw5",1,2167,500,Parkes Estate Agents,Kensington,020 3910 6260
25/09/2023,Semi-Detached House,Benjamin Road,5,2100,485,Romans,High Wycombe,01494 321192
25/09/2023,Apartment,"Admiralty House, 150 Vaughan Way, E1W",3,5200,1200,Cbre Residential,Docklands,020 3907 3038
25/09/2023,Terraced House,"Lairs Close, London",5,4300,992,Urban Lettings,National,03300 532981
25/09/2023,Apartment,"Le May Avenue, Grove Park, London, Se12",1,1350,312,1St Avenue,London,020 3909 6734
25/09/2023,Flat,"Hoxton Square, London N1",1,2145,495,Elkay Properties,London,020 3835 3764
25/09/2023,Maisonette,Holloway Road,4,3900,900,Huddletons,Camden,020 3869 0876
25/09/2023,Penthouse,"Ocean Buildings, Brighton, Bn1",4,4500,1038,Parks Residential Ltd,Brighton,01273 109904
25/09/2023,Apartment,"Millbank, Westminster, London, Sw1P",2,7150,1650,Carter Jonas Lettings,Mayfair,020 3835 3527
25/09/2023,Terraced House,"St. Annes Court, London, W1F",3,5417,1250,Openrent,London,020 3322 3265
25/09/2023,Apartment,"Woodthorpe Road, Ashford, Tw15",1,1050,242,Gregory Brown,Ashford,01784 918295
29-09-2023,Apartment,"Muswell Hill, London, N10",2,2903,670,Home Made,London,01202 145329
25/09/2023,Detached House,"Church Avenue, Sidcup, Da14",5,2800,646,Christopher Russell,Sidcup,020 3840 3340
25/09/2023,Apartment,"Hill Street, Mayfair",2,5417,1250,Tony Alan Estates,London,020 3834 8169
25/09/2023,Apartment,"Lightship Way, Colchester, Essex, Co2",3,1400,323,Palmer & Partners,Colchester,01206 586127
25/09/2023,Terraced House,"Belsize Road, South Hampstead",4,6500,1500,Hanley Estates Ltd,London,020 3840 3830
25/09/2023,Apartment,"Poole Street, London, N1",2,2900,669,Idm Estates Ltd,London,020 3910 6473
25/09/2023,Apartment,"Grays Inn Road, Bloomsbury, London",2,3770,870,Keller Williams Prime Properties,London,020 3907 3065
25/09/2023,Flat,"Foundling Court, Bloomsbury, London  Wc1",2,3250,750,Keller Williams Prime Properties,London,020 3907 3065
25/09/2023,Flat,"Grays Inn Road, Kings Cross Wc1X",2,2535,585,Black Katz,Camden,020 3835 2413
25/09/2023,Apartment,Hazelville Road London N19,6,5700,1315,Kinleigh Folkard & Hayward - Lettings,Crouch End,020 3835 6384
25/09/2023,Apartment,Willowbrook House Coster Avenue London N4,1,2450,565,London Capital Homes,London,020 3840 3969
25/09/2023,House Share,"Orchard Waye, Uxbridge, Ub8",1,825,190,Openrent,London,020 3322 3265
25/09/2023,Apartment,"Whitechapel Road, London",2,2250,519,Tony Alan Estates,London,020 3834 8169
25/09/2023,Terraced House,"Avondale Road, Haringey",5,3499,807,Tony Alan Estates,London,020 3834 8169
25/09/2023,Flat,"Glenville Avenue, Enfield, London, En2",1,1350,312,Makeurmove.Co.Uk,National,020 3909 9781
25/09/2023,Apartment,Collingham Place,2,2799,646,Tony Alan Estates,London,020 3834 8169
25/09/2023,Ground Floor Flat,"Caldwell Street, Oval, Sw9",3,2700,623,Davis & Gibbs Ltd,Oval,020 3910 6356
25/09/2023,Detached Bungalow,"Townsend Road, Ashford, Tw15",3,1995,460,Gregory Brown,Ashford,01784 918295
25/09/2023,House Of Multiple Occupation,"Blossom Waye, Hounslow, Tw5",1,950,219,Blue Estate Agents Ltd,Heston,020 3909 0321
25/09/2023,House Of Multiple Occupation,"Blossom Waye, Hounslow, Tw5",1,950,219,Blue Estate Agents Ltd,Heston,020 3909 0321
25/09/2023,Apartment,"Chronicle Tower, 261B City Road, Angel, Shoreditch, London, Ec1V",1,3033,700,Relocate-Me.Co.Uk,London,020 3872 5280
25/09/2023,Maisonette,Grove Crescent Road,4,2999,692,Tony Alan Estates,London,020 3834 8169
25/09/2023,Flat,"All Souls Avenue, London, Nw10",4,3748,865,Abacus Estates,Kensal Rise,020 3907 3480
25/09/2023,Flat,"Adenmore Road, Catford, London, Se6",2,1800,415,Stanford Estates,Catford,020 3834 8672
04/09/2023,Detached House,"Cricket Green, Hartley Wintney, Hook, Hampshire, Rg27",2,1995,460,Mackenzie Smith,Fleet,01252 221910
25/09/2023,Detached Bungalow,"Townsend Road, Ashford, Tw15",3,1995,460,Gregory Brown,Ashford,01784 918295
25/09/2023,House Of Multiple Occupation,"Blossom Waye, Hounslow, Tw5",1,950,219,Blue Estate Agents Ltd,Heston,020 3909 0321
25/09/2023,House Of Multiple Occupation,"Blossom Waye, Hounslow, Tw5",1,950,219,Blue Estate Agents Ltd,Heston,020 3909 0321
25/09/2023,Apartment,"Chronicle Tower, 261B City Road, Angel, Shoreditch, London, Ec1V",1,3033,700,Relocate-Me.Co.Uk,London,020 3872 5280
25/09/2023,Maisonette,Grove Crescent Road,4,2999,692,Tony Alan Estates,London,020 3834 8169
25/09/2023,Flat,"All Souls Avenue, London, Nw10",4,3748,865,Abacus Estates,Kensal Rise,020 3907 3480
25/09/2023,Flat,"Adenmore Road, Catford, London, Se6",2,1800,415,Stanford Estates,Catford,020 3834 8672
25/09/2023,Apartment,"Landmann Point, 6 Peartree Way, Greenwich, Se10",2,2200,508,1St Avenue,London,020 3909 6734
25/09/2023,End Of Terrace House,"Harberton Road, N19 3Jt",4,4000,923,David Andrew,London - Holloway Road,020 3840 3854
25/09/2023,Apartment,"Castle Gate, 114 Castle Street, Reading, Berkshire, Rg1",2,1500,346,Winkworth,Reading,0118 230 5527
25/09/2023,Apartment,"Fouberts Place, Soho W1F",1,2492,575,Tavistock Bow,London,020 3872 0732
25/09/2023,Flat,Hyde Park Gardens,2,7280,1680,Scraye,London,020 3834 8234
24/09/2023,Flat,"Stuart Road, Richmond, Tw10",3,1950,450,Openrent,London,020 3322 3265
24/09/2023,Terraced House,"Pilgrimage Street, London, Se1",3,2652,612,Residential Realtors,London,020 3834 8384
24/09/2023,Flat,"Fitzroy Street, London, W1T",2,3012,695,Openrent,London,020 3322 3265
24/09/2023,Flat,"Lancaster Way, London, Sw11",2,3679,849,Openrent,London,020 3322 3265
24/09/2023,Semi-Detached House,"Henfield Way, Hove, Bn3",4,2350,542,Jack Taggart & Co,Hove,01273 109878
24/09/2023,Flat,"Walterton Road, London, W9",1,2300,531,Openrent,London,020 3322 3265
24/09/2023,End Of Terrace House,"Shandy Street, London, E1",4,3200,738,Openrent,London,020 3322 3265
24/09/2023,Town House,"Ferry Street, Isle Of Dogs, Docklands,London, E14",5,5200,1200,Reiss Samuels,London,020 3840 3467
23/09/2023,Ground Floor Flat,Hamlet Gardens,3,5828,1345,Scraye,London,020 3834 8234
23/09/2023,Semi-Detached House,"Rowan Road, Bexleyheath, Da7",5,2500,577,Re/Max Select,Bexleyheath,020 8304 4010
23/09/2023,Apartment,"St. Leonards Street, Bow, London E3",1,1650,381,Victorstone,City Road,020 3834 7921
12/09/2023,Flat,"Sidney Street, Georgette Apartments, E1",1,2383,550,One Move Group,London,020 3840 3700
23/09/2023,Apartment,"Packington Street, Islington, Angel, London, N1",1,2050,473,Relocate-Me.Co.Uk,London,020 3872 5280
23/09/2023,Flat,"Mint Street, London, Se1",1,1603,370,Residential Realtors,London,020 3834 8384
23/09/2023,Semi-Detached House,"Seacourt Road, Langley, Sl3",3,2000,462,The Flatman Partnership,Langley,01737 303437
23/09/2023,Flat,"The Ridgeway, London, W3",1,1899,438,Openrent,London,020 3322 3265
23/09/2023,Semi-Detached House,"St. Swithins Road, Fleet, Hampshire, Gu51",3,1750,404,Mackenzie Smith,Farnborough,01252 221880
23/09/2023,Apartment,"Abbey Orchard Street, St James Park",2,4745,1095,Hanley Estates Ltd,London,020 3840 3830
23/09/2023,Town House,"Cahir Street,Isle Of Dogs,Canary Wharf, Docklands, London, E14",5,4550,1050,Reiss Samuels,London,020 3840 3467
23/09/2023,Town House,"Cyclops Mews, Canary Wharf, Isle Of Dogs, London, E14",5,4767,1100,Reiss Samuels,London,020 3840 3467
23/09/2023,Apartment,"Bath Terrace, London, Se1",1,1647,380,Residential Realtors,London,020 3834 8384
23/09/2023,Terraced House,"Dalwood Street, London, Se5",4,3198,738,Residential Realtors,London,020 3834 8384
23/09/2023,Apartment,"Fulham Road, London",2,5742,1325,Allen Goldstein,Bloomsbury,020 3834 7963
23/09/2023,Apartment,"Strathmore Court,  Park Road, London",5,8493,1960,Allen Goldstein,Bloomsbury,020 3834 7963
22/09/2023,Apartment,"Viaduct Gardens, London, Sw11",2,4247,980,Celestial Globe,Westminster,020 7583 3111
22/09/2023,Flat,"Schubert Road, London Sw15",3,3000,692,Ludlowthompson,Tooting - Lettings,020 3892 2805
22/09/2023,Flat,"St. John Street, London, Ec1V",3,4500,1038,Upad,Coventry,020 3866 6837
22/09/2023,Flat,"Nottingham Place, W1U",1,3380,780,Ec Residential Ltd,London,020 3834 8501
22/09/2023,Flat,"Charrington Street, Camden - Kings Cross Nw1",2,2557,590,Black Katz,Camden,020 3835 2413
22/09/2023,Semi-Detached House,"Cypress Road, Guildford",5,3000,692,Martin & Co,Guildford,01483 968542
22/09/2023,Flat,"St Stephen'S Garden, W2",2,5000,1154,Ec Residential Ltd,London,020 3834 8501
22/09/2023,Apartment,"Balham Hill, London, Sw12",2,2700,623,Hello Neighbour,London,020 3909 7829
22/09/2023,Apartment,"Lionel Road South, Brentford, Middlesex, Tw8",2,2575,594,Apo,Kew Bridge,020 3910 6585
22/09/2023,Apartment,"Lionel Road South, Brentford, Middlesex, Tw8",2,2575,594,Apo,Kew Bridge,020 3910 6585
22/09/2023,Apartment,"Merino Gardens, London Dock, London E1W",2,3987,920,Chase Evans,City & Aldgate,020 3840 4014
22/09/2023,Apartment,"Belsize Road, Belsize Park, London, Nw6",4,6500,1500,Victorstone,City Road,020 3834 7921
13/09/2023,Apartment,"Balcombe Street, Marylebone, London, Nw1",1,2448,565,Kubie Gold Associates,London,020 3834 8585
22/09/2023,Flat,"Charrington Street, Camden - Kings Cross Nw1",2,2557,590,Black Katz,Camden,020 3835 2413
22/09/2023,Semi-Detached House,"Cypress Road, Guildford",5,3000,692,Martin & Co,Guildford,01483 968542
22/09/2023,Flat,"St Stephen'S Garden, W2",2,5000,1154,Ec Residential Ltd,London,020 3834 8501
22/09/2023,Apartment,"Balham Hill, London, Sw12",2,2700,623,Hello Neighbour,London,020 3909 7829
22/09/2023,Apartment,"Lionel Road South, Brentford, Middlesex, Tw8",2,2575,594,Apo,Kew Bridge,020 3910 6585
22/09/2023,Apartment,"Lionel Road South, Brentford, Middlesex, Tw8",2,2575,594,Apo,Kew Bridge,020 3910 6585
22/09/2023,Apartment,"Merino Gardens, London Dock, London E1W",2,3987,920,Chase Evans,City & Aldgate,020 3840 4014
22/09/2023,Apartment,"Belsize Road, Belsize Park, London, Nw6",4,6500,1500,Victorstone,City Road,020 3834 7921
22/09/2023,Apartment,"Lionel Road South, Brentford, Middlesex, Tw8",2,2600,600,Apo,Kew Bridge,020 3910 6585
22/09/2023,Flat,"Holmrook House, Euston Nw1",3,3423,790,Sn Estates London,London,020 3871 1988
22/09/2023,Apartment,"Lionel Road South, Brentford, Middlesex, Tw8",2,2575,594,Apo,Kew Bridge,020 3910 6585
22/09/2023,Flat,"Heyford Avenue, Vauxhall, Sw8",2,2197,507,Davis & Gibbs Ltd,Oval,020 3910 6356
22/09/2023,Apartment,"Lionel Road South, Brentford, Middlesex, Tw8",2,2450,565,Apo,Kew Bridge,020 3910 6585
22/09/2023,Apartment,"Southlea Road, Datchet, Slough, Sl3",1,1600,369,Oakwood Estates,Datchet,01753 387396
22/09/2023,Flat,"Waterside Apartments, 537 Harrow Road, North Kensington, W10",3,3400,785,Daniels Estate Agents,Kensal Rise,020 3907 3523
22/09/2023,Terraced House,"Strahan Road, London, E3",4,4000,923,Upad,Coventry,020 3866 6837
22/09/2023,Flat,Boleyn Road,4,1150,265,Studenttenant,Canterbury,03337 720618
22/09/2023,Ground Floor Flat,Collingham Road,2,4775,1102,Scraye,London,020 3834 8234
22/09/2023,Apartment,"John Harrison Way, London, Se10",2,2100,485,1St Avenue,London,020 3909 6734
22/09/2023,Flat,"Celia House, 
Arden Estate, N1",2,2250,519,Chestertons Estate Agents,Islington Lettings,020 3872 5359
22/09/2023,Semi-Detached House,"Ambassador Square, Canary Wharf, London, E14",6,5720,1320,Reiss Samuels,London,020 3840 3467
22/09/2023,Apartment,"Pink Mews, London",1,3000,692,Sab - Saint Andrews Bureau Ltd,London,020 7459 4575
22/09/2023,Flat,"St George'S Road, Brighton",2,1875,433,Oceans Property Management Ltd,Brighton,01273 092979
22/09/2023,Apartment,"Mackworth House, Augustus Street, Euston, London, Nw1",1,1800,415,Victorstone,City Road,020 3834 7921
22/09/2023,Terraced House,"Corporation Street, London",6,5300,1223,Tony Alan Estates,London,020 3834 8169
22/09/2023,Flat,"Upper Market Street, Hove",1,1450,335,Oceans Property Management Ltd,Brighton,01273 092979
22/09/2023,Maisonette,"Clarence Square, Brighton",2,1850,427,Oceans Property Management Ltd,Brighton,01273 092979
22/09/2023,Flat,"Philbeach Gardens, 
Earls Court, Sw5",1,2275,525,Chestertons Estate Agents,South Kensington Lettings,020 3869 0916
22/09/2023,Flat,"Philbeach Gardens, 
Earls Court, Sw5",2,3250,750,Chestertons Estate Agents,South Kensington Lettings,020 3869 0916
22/09/2023,Flat,"Philbeach Gardens, 
Earls Court, Sw5",1,2275,525,Chestertons Estate Agents,South Kensington Lettings,020 3869 0916
22/09/2023,Flat,Woodbridge Road,1,1450,335,Haart,Guildford,01483 967243
22/09/2023,Apartment,"Belvedere Road, Waterloo, Se1",2,3683,850,John D Wood & Co. Lettings,Belgravia,020 3872 5384
22/09/2023,Terraced House,"Acton Street, King'S Cross, Wc1X",6,5995,1383,Uni Living London,London,020 3909 3849
22/09/2023,Flat,"Waterhead, Varndell Street, Nw1",3,2995,691,Uni Living London,London,020 3909 3849
22/09/2023,Apartment,"17 Bessemer Place, North Greenwich, London, Se10",2,2600,600,1St Avenue,London,020 3909 6734
22/09/2023,Flat,"Mitcham, Surrey, Cr4",1,1275,294,Openrent,London,020 3322 3265
21/09/2023,Apartment,"One Crown Place, Shoreditch, Ec2A",1,3683,850,Romans & Partners,London,020 3835 3553
21/09/2023,Flat Share,"Huddleston Road, London, N7",1,1443,333,Openrent,London,020 3322 3265
21/09/2023,Apartment,"South Quay Square, Canary Wharf",1,2500,577,Tony Alan Estates,London,020 3834 8169
21/09/2023,Apartment,"Cape Yard, London, E1W",3,4550,1050,Hunters,Tower Bridge,020 3834 8275
21/09/2023,Apartment,Theatro Tower Creek Road Se8,3,2650,612,Jll,Greenwich,020 3840 3562
22/09/2023,Apartment,"17 Bessemer Place, North Greenwich, London, Se10",2,2600,600,1St Avenue,London,020 3909 6734
22/09/2023,Flat,"Mitcham, Surrey, Cr4",1,1275,294,Openrent,London,020 3322 3265
21/09/2023,Apartment,"One Crown Place, Shoreditch, Ec2A",1,3683,850,Romans & Partners,London,020 3835 3553
21/09/2023,Flat Share,"Huddleston Road, London, N7",1,1443,333,Openrent,London,020 3322 3265
21/09/2023,Apartment,"South Quay Square, Canary Wharf",1,2500,577,Tony Alan Estates,London,020 3834 8169
21/09/2023,Apartment,"Cape Yard, London, E1W",3,4550,1050,Hunters,Tower Bridge,020 3834 8275
21/09/2023,Apartment,Theatro Tower Creek Road Se8,3,2650,612,Jll,Greenwich,020 3840 3562
21/09/2023,Flat,"Southern Grove, London",4,3500,808,City Realtor Limited,London,020 7790 7702
21/09/2023,Apartment,"Mackrow Walk, London, E14",3,3860,891,Celestial Globe,Westminster,020 7583 3111
21/09/2023,Ground Floor Flat,Old Brompton Road,2,6673,1540,Scraye,London,020 3834 8234
21/09/2023,Apartment,"Eden Close, Slough, Sl3",3,1600,369,The Flatman Partnership,Langley,01737 303437
21/09/2023,Apartment,Pavilion Parade,3,2300,531,Leaders Lettings,Kemptown,01273 109887
21/09/2023,Apartment,"Kingwood Garden, Goodman'S Field, Aldgate East, London, E1",1,3098,715,Relocate-Me.Co.Uk,London,020 3872 5280
21/09/2023,Apartment,"Walpole Court, Ealing Green, London, Greater London, W5",2,3500,808,Benjamin Stevens,Edgware,020 3893 8927
21/09/2023,House Share,"Windsor Street, Brighton",1,1400,323,Stanfords Estates,Brighton,01273 109714
21/09/2023,Apartment,"Eastfields Avenue, London, Sw18",2,2750,635,Celestial Globe,Westminster,020 7583 3111
21/09/2023,Semi-Detached House,"Uplands Park Road, Rayleigh, Ss6",3,1600,369,Elliott & Smith Partnership,Rayleigh,01268 203678
21/09/2023,Apartment,"Cashmere House, Goodmans Fields, Leman Street, Aldgate, Aldgate East, London, E1",1,3250,750,Relocate-Me.Co.Uk,London,020 3872 5280
26/09/2023,Apartment,"One Crown Place, Ec2A",2,5200,1200,Harvey W James,London,020 3909 6747
21/09/2023,Flat,Kennington Lane,3,3497,807,1 Ability Estate Agents,London,020 3910 6304
21/09/2023,Flat,"Central Mill Apartments, Samuel Street, E8",2,2450,565,L&Q,Lettings,020 3370 9509
21/09/2023,Flat,"Cheviot Court, Luxborough Street, Marylebone, London, W1U",2,2925,675,Kubie Gold Associates,London,020 3834 8585
21/09/2023,Flat,"Thornes House, Nine Elms",3,6873,1586,Sn Estates London,London,020 3871 1988
21/09/2023,Terraced House,"Cape Yard, London, E1W",4,4250,981,Jbrown,London,020 3909 7891
21/09/2023,Terraced House,"Great Russell Street, 
Holborn, Wc1B",2,3900,900,Chestertons Estate Agents,Covent Garden Lettings,020 3872 5331
21/09/2023,Apartment,"Rathbone Place, London, W1T",1,5700,1315,Waterfronts,London,020 3835 3031
21/09/2023,Semi-Detached House,"Campbell Road, Twickenham",3,2400,554,Milestone & Collis,Twickenham,020 3909 8925
21/09/2023,Semi-Detached House,"Logan Close, Hounslow",3,2500,577,Tony Alan Estates,London,020 3834 8169
21/09/2023,Flat,"Elvaston Place, South Kensington",1,2167,500,Pomp Properties,London,020 3840 3585
21/09/2023,Apartment,"Mint Street, London, Se1",1,1573,363,Residential Realtors,London,020 3834 8384
21/09/2023,Apartment,"Cranbourn Street, Covent Garden, Wc2",2,5308,1225,Tavistock Bow,London,020 3872 0732
21/09/2023,House,"9  Churchyard Row, London, London",1,2614,603,Hybr,London,020 3966 4594
21/09/2023,House,"Stockwell Studio Apartment Courland Grove, London, London",1,1360,314,Hybr,London,020 3966 4594
21/09/2023,Terraced House,"Redman House, Lant Street, London, Se1",1,1599,369,Residential Realtors,London,020 3834 8384
21/09/2023,Terraced House,"Redman House, Lant Street, London, Se1",1,1599,369,Residential Realtors,London,020 3834 8384
21/09/2023,Terraced House,"Redman House, Lant Street, London, Se1",1,1599,369,Residential Realtors,London,020 3834 8384
21/09/2023,Terraced House,"Redman House, Lant Street, London, Se1",1,1599,369,Residential Realtors,London,020 3834 8384
21/09/2023,Terraced House,"Redman House, Lant Street, London, Se1",1,1599,369,Residential Realtors,London,020 3834 8384
21/09/2023,Apartment,"Becquerel Court, West Parkside, Greenwich, Se10",2,2200,508,1St Avenue,London,020 3909 6734
21/09/2023,Terraced House,"Lockesfield Place, Isle Of Dogs, Docklands,London, E14",6,4800,1108,Reiss Samuels,London,020 3840 3467
21/09/2023,Flat,"Devons Road, London",4,3250,750,City Realtor Limited,London,020 7790 7702
20/09/2023,Cottage,"Hamilton Road, East Finchley, N2",3,2450,565,Jeremy Leaf & Co,North Finchley,020 3889 1538
21/09/2023,Flat,"Devons Road, London",4,3250,750,City Realtor Limited,London,020 7790 7702
20/09/2023,Apartment,"Cedar House, Nottingham Place",2,4333,1000,Manors,London - Lettings,020 3909 9750
